timestamp_start,timestamp_end,dataset,group,variant,config_path,save_dir,out_dir,status,exit_code,duration_min,peak_ram_gb,peak_vram_mib,n_keyframes,n_mapped,n_processed,n_dataset_frames,mapper_kf_skip,frame_skip,filter_thresh,selector_kind,ply_mb_final,ply_count,last_ply_kf,psnr,ssim,lpips,n_metric_frames,ate_rmse_m,ate_mean_m,n_ate_pairs,n_tracked,psnr_ho,ssim_ho,lpips_ho,n_eval_ho,wall_total_s,track_total_mean_ms,track_total_p95_ms,track_motion_filter_mean_ms,track_frontend_ba_mean_ms,map_total_mean_ms,map_total_p95_ms,map_train_loop_mean_ms,frame_select_mean_ms,log_path,crash_reason
1781882460,1781882487,AMvalley03,baseline,vings_filter,configs/local/AMvalley03/s800_400f/baseline/AMvalley03_s800_400f_vings_filter.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_AMvalley03_s800_400f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_AMvalley03_s800_400f/06-19-23-21-generic_vo-AMvalley03_s800_400f_vings_filter-,OK,0,0.45,2.1,1996,94,94,400,400,1,1,2.4,none,49.15,1,399,25.5832,0.8001,0.1866,6,1.131504073157529,0.9894599099464608,18,18,16.9012,0.2395,0.3046,40,19.3,13.91,6.69,6.4,7.46,64.15,631.21,621.6,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_AMvalley03_s800_400f/06-19-23-21-generic_vo-AMvalley03_s800_400f_vings_filter-/run_20260619_172100.log,
1781882503,1781882527,AMvalley03,mapskip,mapskip_20,configs/local/AMvalley03/s800_400f/mapskip/AMvalley03_s800_400f_mapskip_20.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_AMvalley03_s800_400f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_AMvalley03_s800_400f/06-19-23-21-generic_vo-AMvalley03_s800_400f_mapskip_20-,OK,0,0.4,2.1,1678,94,5,400,400,20,1,2.4,none,24.53,1,399,26.8386,0.8463,0.1659,3,1.1300912253821442,0.9886640128581674,18,18,16.4965,0.2118,0.34,40,15.6,13.85,6.39,6.35,7.45,510.59,634.96,585.08,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_AMvalley03_s800_400f/06-19-23-21-generic_vo-AMvalley03_s800_400f_mapskip_20-/run_20260619_172144.log,
1781882544,1781882568,AMvalley03,mapskip,mapskip_10,configs/local/AMvalley03/s800_400f/mapskip/AMvalley03_s800_400f_mapskip_10.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_AMvalley03_s800_400f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_AMvalley03_s800_400f/06-19-23-22-generic_vo-AMvalley03_s800_400f_mapskip_10-,OK,0,0.4,2.1,2132,94,10,400,400,10,1,2.4,none,36.99,1,399,25.4103,0.7991,0.2067,6,1.1310544028898666,0.9892021148378869,18,18,16.7316,0.2287,0.3429,40,16.0,13.65,6.51,6.11,7.5,390.64,675.1,603.2,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_AMvalley03_s800_400f/06-19-23-22-generic_vo-AMvalley03_s800_400f_mapskip_10-/run_20260619_172224.log,
1781882584,1781882610,AMvalley03,mapskip,mapskip_5,configs/local/AMvalley03/s800_400f/mapskip/AMvalley03_s800_400f_mapskip_5.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_AMvalley03_s800_400f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_AMvalley03_s800_400f/06-19-23-23-generic_vo-AMvalley03_s800_400f_mapskip_5-,OK,0,0.43,2.11,1622,94,19,400,400,5,1,2.4,none,41.94,1,399,26.5887,0.8282,0.1862,5,1.1311721831975448,0.9891823606288594,18,18,16.8902,0.2311,0.3228,40,17.9,13.82,6.59,6.33,7.44,251.24,731.79,635.14,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_AMvalley03_s800_400f/06-19-23-23-generic_vo-AMvalley03_s800_400f_mapskip_5-/run_20260619_172304.log,
1781882626,1781882654,AMvalley03,mapskip,mapskip_3,configs/local/AMvalley03/s800_400f/mapskip/AMvalley03_s800_400f_mapskip_3.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_AMvalley03_s800_400f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_AMvalley03_s800_400f/06-19-23-23-generic_vo-AMvalley03_s800_400f_mapskip_3-,OK,0,0.47,2.1,2094,94,32,400,400,3,1,2.4,none,47.51,1,399,25.8107,0.8052,0.1899,7,1.1310513024729667,0.989182904619117,18,18,16.8659,0.2372,0.3137,40,19.4,13.79,6.45,6.29,7.45,195.5,752.44,648.27,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_AMvalley03_s800_400f/06-19-23-23-generic_vo-AMvalley03_s800_400f_mapskip_3-/run_20260619_172347.log,
1781882670,1781882697,AMvalley03,mapskip,mapskip_2,configs/local/AMvalley03/s800_400f/mapskip/AMvalley03_s800_400f_mapskip_2.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_AMvalley03_s800_400f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_AMvalley03_s800_400f/06-19-23-24-generic_vo-AMvalley03_s800_400f_mapskip_2-,OK,0,0.45,2.1,2158,94,47,400,400,2,1,2.4,none,48.12,1,399,26.4141,0.8253,0.1788,6,1.1325870834207785,0.9902918530966317,18,18,16.9899,0.2387,0.3125,40,19.1,13.68,6.51,6.22,7.42,130.83,657.95,636.46,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_AMvalley03_s800_400f/06-19-23-24-generic_vo-AMvalley03_s800_400f_mapskip_2-/run_20260619_172430.log,
1781882713,1781882741,AMvalley03,mapskip,mapskip_1,configs/local/AMvalley03/s800_400f/mapskip/AMvalley03_s800_400f_mapskip_1.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_AMvalley03_s800_400f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_AMvalley03_s800_400f/06-19-23-25-generic_vo-AMvalley03_s800_400f_mapskip_1-,OK,0,0.47,2.1,2156,94,94,400,400,1,1,2.4,none,48.27,1,399,26.3954,0.8239,0.1903,6,1.1308534143201372,0.988989563891636,18,18,16.99,0.2385,0.3135,40,18.6,13.79,6.36,6.19,7.55,67.57,680.8,657.77,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_AMvalley03_s800_400f/06-19-23-25-generic_vo-AMvalley03_s800_400f_mapskip_1-/run_20260619_172514.log,
1781882757,1781882778,AMvalley03,skip_no_filter,nofilter_skip_20,configs/local/AMvalley03/s800_400f/skip_no_filter/AMvalley03_s800_400f_nofilter_skip_20.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_AMvalley03_s800_400f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_AMvalley03_s800_400f/06-19-23-26-generic_vo-AMvalley03_s800_400f_nofilter_skip_20-,OK,0,0.35,2.1,1856,12,12,20,400,1,20,-1.0,none,47.2,1,399,25.2137,0.729,0.3948,5,0.8516546799257002,0.6877740246506187,20,20,20.0362,0.4335,0.4099,40,12.4,195.24,323.61,28.67,166.51,471.41,672.61,587.41,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_AMvalley03_s800_400f/06-19-23-26-generic_vo-AMvalley03_s800_400f_nofilter_skip_20-/run_20260619_172557.log,
1781882794,1781882841,AMvalley03,skip_no_filter,nofilter_skip_10,configs/local/AMvalley03/s800_400f/skip_no_filter/AMvalley03_s800_400f_nofilter_skip_10.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_AMvalley03_s800_400f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_AMvalley03_s800_400f/06-19-23-26-generic_vo-AMvalley03_s800_400f_nofilter_skip_10-,OK,0,0.78,2.1,3734,32,32,40,400,1,10,-1.0,none,144.87,1,399,23.7519,0.6406,0.4357,21,1.0354162052453217,0.8596879828521621,40,40,17.3366,0.2575,0.5138,40,38.2,198.49,275.79,17.5,180.93,824.67,1086.56,898.17,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_AMvalley03_s800_400f/06-19-23-26-generic_vo-AMvalley03_s800_400f_nofilter_skip_10-/run_20260619_172634.log,
1781882858,1781883015,AMvalley03,skip_no_filter,nofilter_skip_5,configs/local/AMvalley03/s800_400f/skip_no_filter/AMvalley03_s800_400f_nofilter_skip_5.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_AMvalley03_s800_400f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_AMvalley03_s800_400f/06-19-23-27-generic_vo-AMvalley03_s800_400f_nofilter_skip_5-,OK,0,2.62,2.1,8814,72,72,80,400,1,5,-1.0,none,324.83,1,399,23.2202,0.6175,0.4431,48,1.2499724726326793,1.0371319439183826,80,80,14.1699,0.1899,0.5884,40,148.2,201.15,245.97,11.83,189.26,1755.05,2523.87,1780.66,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_AMvalley03_s800_400f/06-19-23-27-generic_vo-AMvalley03_s800_400f_nofilter_skip_5-/run_20260619_172738.log,
1781883032,1781883124,AMvalley03,skip_no_filter,nofilter_skip_3,configs/local/AMvalley03/s800_400f/skip_no_filter/AMvalley03_s800_400f_nofilter_skip_3.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_AMvalley03_s800_400f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_AMvalley03_s800_400f/06-19-23-30-generic_vo-AMvalley03_s800_400f_nofilter_skip_3-,FAIL,1,1.53,1.63,9448,40,40,48,400,1,3,-1.0,none,,0,,22.8433,0.6325,0.3972,32,,,,,,,,,74.9,198.62,253.11,15.48,183.08,1603.9,2667.64,1633.85,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_AMvalley03_s800_400f/06-19-23-30-generic_vo-AMvalley03_s800_400f_nofilter_skip_3-/run_20260619_173032.log,
