timestamp_start,timestamp_end,dataset,group,variant,config_path,save_dir,out_dir,status,exit_code,duration_min,peak_ram_gb,peak_vram_mib,n_keyframes,n_mapped,n_processed,n_dataset_frames,mapper_kf_skip,frame_skip,filter_thresh,selector_kind,ply_mb_final,ply_count,last_ply_kf,psnr,ssim,lpips,n_metric_frames,ate_rmse_m,ate_mean_m,n_ate_pairs,n_tracked,psnr_ho,ssim_ho,lpips_ho,n_eval_ho,wall_total_s,track_total_mean_ms,track_total_p95_ms,track_motion_filter_mean_ms,track_frontend_ba_mean_ms,map_total_mean_ms,map_total_p95_ms,map_train_loop_mean_ms,frame_select_mean_ms,log_path,crash_reason
1781930955,1781931008,HKairport03,baseline,vings_filter,configs/local/HKairport03/s670_400f/baseline/HKairport03_s670_400f_vings_filter.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKairport03_s670_400f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKairport03_s670_400f/06-20-12-49-generic_vo-HKairport03_s670_400f_vings_filter-,OK,0,0.88,2.1,5339,163,163,400,400,1,1,2.4,none,161.45,1,399,21.9257,0.6454,0.3213,19,17.682188216058762,15.795270425394998,37,37,14.6008,0.25,0.3532,40,43.9,22.96,200.42,6.42,16.49,156.09,889.85,773.83,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKairport03_s670_400f/06-20-12-49-generic_vo-HKairport03_s670_400f_vings_filter-/run_20260620_064915.log,
1781931024,1781931055,HKairport03,mapskip,mapskip_20,configs/local/HKairport03/s670_400f/mapskip/HKairport03_s670_400f_mapskip_20.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKairport03_s670_400f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKairport03_s670_400f/06-20-12-50-generic_vo-HKairport03_s670_400f_mapskip_20-,OK,0,0.52,2.1,1875,163,9,400,400,20,1,2.4,none,58.11,1,399,20.6473,0.5623,0.402,8,17.68188817103456,15.794977455421405,37,37,15.0279,0.2704,0.3735,40,22.7,22.77,197.55,6.39,16.33,619.51,685.01,569.5,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKairport03_s670_400f/06-20-12-50-generic_vo-HKairport03_s670_400f_mapskip_20-/run_20260620_065024.log,
1781931072,1781931106,HKairport03,mapskip,mapskip_10,configs/local/HKairport03/s670_400f/mapskip/HKairport03_s670_400f_mapskip_10.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKairport03_s670_400f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKairport03_s670_400f/06-20-12-51-generic_vo-HKairport03_s670_400f_mapskip_10-,OK,0,0.57,2.1,2769,163,17,400,400,10,1,2.4,none,80.39,1,399,19.6775,0.5373,0.4566,11,17.685790670096868,15.799307887553175,37,37,14.5864,0.2616,0.3909,40,26.1,22.87,199.26,6.42,16.41,512.49,707.06,576.07,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKairport03_s670_400f/06-20-12-51-generic_vo-HKairport03_s670_400f_mapskip_10-/run_20260620_065112.log,
1781931122,1781931166,HKairport03,mapskip,mapskip_5,configs/local/HKairport03/s670_400f/mapskip/HKairport03_s670_400f_mapskip_5.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKairport03_s670_400f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKairport03_s670_400f/06-20-12-52-generic_vo-HKairport03_s670_400f_mapskip_5-,OK,0,0.73,2.11,4632,163,33,400,400,5,1,2.4,none,118.6,1,399,20.1661,0.5355,0.4591,16,17.68512496683258,15.798743858294921,37,37,14.4581,0.2557,0.3985,40,34.3,22.93,199.85,6.37,16.51,505.3,757.36,650.11,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKairport03_s670_400f/06-20-12-52-generic_vo-HKairport03_s670_400f_mapskip_5-/run_20260620_065203.log,
1781931182,1781931233,HKairport03,mapskip,mapskip_3,configs/local/HKairport03/s670_400f/mapskip/HKairport03_s670_400f_mapskip_3.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKairport03_s670_400f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKairport03_s670_400f/06-20-12-53-generic_vo-HKairport03_s670_400f_mapskip_3-,OK,0,0.85,2.1,5341,163,55,400,400,3,1,2.4,none,155.43,1,399,21.3818,0.6243,0.3611,19,17.68646382749095,15.800071466212662,37,37,14.6714,0.253,0.3588,40,42.7,22.96,199.73,6.44,16.47,448.91,945.78,751.5,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKairport03_s670_400f/06-20-12-53-generic_vo-HKairport03_s670_400f_mapskip_3-/run_20260620_065302.log,
1781931249,1781931301,HKairport03,mapskip,mapskip_2,configs/local/HKairport03/s670_400f/mapskip/HKairport03_s670_400f_mapskip_2.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKairport03_s670_400f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKairport03_s670_400f/06-20-12-54-generic_vo-HKairport03_s670_400f_mapskip_2-,OK,0,0.87,2.1,5259,163,82,400,400,2,1,2.4,none,158.44,1,399,21.5557,0.6265,0.34,20,17.68193406466887,15.79501032470399,37,37,14.6317,0.258,0.3509,40,43.2,22.91,199.39,6.37,16.5,308.58,945.64,770.53,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKairport03_s670_400f/06-20-12-54-generic_vo-HKairport03_s670_400f_mapskip_2-/run_20260620_065410.log,
1781931317,1781931370,HKairport03,mapskip,mapskip_1,configs/local/HKairport03/s670_400f/mapskip/HKairport03_s670_400f_mapskip_1.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKairport03_s670_400f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKairport03_s670_400f/06-20-12-55-generic_vo-HKairport03_s670_400f_mapskip_1-,OK,0,0.88,2.1,5953,163,163,400,400,1,1,2.4,none,161.2,1,399,21.3222,0.6152,0.3443,24,17.68195988527263,15.79503891628445,37,37,14.6167,0.2541,0.3507,40,44.0,22.82,199.22,6.39,16.38,159.76,907.94,793.3,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKairport03_s670_400f/06-20-12-55-generic_vo-HKairport03_s670_400f_mapskip_1-/run_20260620_065518.log,
1781931386,1781931406,HKairport03,skip_no_filter,nofilter_skip_20,configs/local/HKairport03/s670_400f/skip_no_filter/HKairport03_s670_400f_nofilter_skip_20.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKairport03_s670_400f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKairport03_s670_400f/06-20-12-56-generic_vo-HKairport03_s670_400f_nofilter_skip_20-,OK,0,0.33,2.1,1487,12,12,20,400,1,20,-1.0,none,54.22,1,399,21.7581,0.6044,0.439,8,10.593840722673603,8.570364463656388,20,20,14.8332,0.2485,0.5928,40,11.7,189.85,323.7,28.55,161.25,415.82,626.99,572.86,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKairport03_s670_400f/06-20-12-56-generic_vo-HKairport03_s670_400f_nofilter_skip_20-/run_20260620_065626.log,
1781931422,1781931464,HKairport03,skip_no_filter,nofilter_skip_10,configs/local/HKairport03/s670_400f/skip_no_filter/HKairport03_s670_400f_nofilter_skip_10.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKairport03_s670_400f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKairport03_s670_400f/06-20-12-57-generic_vo-HKairport03_s670_400f_nofilter_skip_10-,OK,0,0.7,2.1,3957,32,32,40,400,1,10,-1.0,none,155.73,1,399,19.1727,0.4609,0.5249,23,13.721843702078573,11.102399048278059,40,40,15.7877,0.2653,0.5025,40,32.6,195.75,268.36,17.21,178.48,654.77,904.67,703.36,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKairport03_s670_400f/06-20-12-57-generic_vo-HKairport03_s670_400f_nofilter_skip_10-/run_20260620_065703.log,
1781931480,1781931595,HKairport03,skip_no_filter,nofilter_skip_5,configs/local/HKairport03/s670_400f/skip_no_filter/HKairport03_s670_400f_nofilter_skip_5.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKairport03_s670_400f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKairport03_s670_400f/06-20-12-58-generic_vo-HKairport03_s670_400f_nofilter_skip_5-,OK,0,1.92,2.1,8721,72,72,80,400,1,5,-1.0,none,349.55,1,399,19.2118,0.4982,0.4843,45,14.001510996693964,11.377830964506447,80,80,14.58,0.238,0.4937,40,105.5,200.18,235.65,11.82,188.31,1160.71,1669.21,1164.44,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKairport03_s670_400f/06-20-12-58-generic_vo-HKairport03_s670_400f_nofilter_skip_5-/run_20260620_065800.log,
