timestamp_start,timestamp_end,dataset,group,variant,config_path,save_dir,out_dir,status,exit_code,duration_min,peak_ram_gb,peak_vram_mib,n_keyframes,n_mapped,n_processed,n_dataset_frames,mapper_kf_skip,frame_skip,filter_thresh,selector_kind,ply_mb_final,ply_count,last_ply_kf,psnr,ssim,lpips,n_metric_frames,ate_rmse_m,ate_mean_m,n_ate_pairs,n_tracked,psnr_ho,ssim_ho,lpips_ho,n_eval_ho,wall_total_s,track_total_mean_ms,track_total_p95_ms,track_motion_filter_mean_ms,track_frontend_ba_mean_ms,map_total_mean_ms,map_total_p95_ms,map_train_loop_mean_ms,frame_select_mean_ms,log_path,crash_reason
1781900205,1781900239,HKisland03,baseline,vings_filter,configs/local/HKisland03/s2600_200f/baseline/HKisland03_s2600_200f_vings_filter.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKisland03_s2600_200f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKisland03_s2600_200f/06-20-04-16-generic_vo-HKisland03_s2600_200f_vings_filter-,OK,0,0.57,2.11,3328,134,134,200,200,1,1,2.4,none,88.32,1,199,21.8029,0.7576,0.2589,11,2.8470449094050125,2.434702767000834,27,27,17.7727,0.6189,0.2707,20,25.9,30.91,204.97,7.6,23.27,110.66,790.07,738.99,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKisland03_s2600_200f/06-20-04-16-generic_vo-HKisland03_s2600_200f_vings_filter-/run_20260619_221645.log,
1781900255,1781900279,HKisland03,mapskip,mapskip_20,configs/local/HKisland03/s2600_200f/mapskip/HKisland03_s2600_200f_mapskip_20.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKisland03_s2600_200f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKisland03_s2600_200f/06-20-04-17-generic_vo-HKisland03_s2600_200f_mapskip_20-,OK,0,0.4,2.11,2046,134,7,200,200,20,1,2.4,none,47.84,1,199,20.7461,0.7446,0.2734,7,2.847324830595431,2.4350889191957745,27,27,15.9005,0.5543,0.3676,20,15.4,30.84,203.14,7.58,23.2,699.16,724.41,646.05,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKisland03_s2600_200f/06-20-04-17-generic_vo-HKisland03_s2600_200f_mapskip_20-/run_20260619_221736.log,
1781900295,1781900322,HKisland03,mapskip,mapskip_10,configs/local/HKisland03/s2600_200f/mapskip/HKisland03_s2600_200f_mapskip_10.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKisland03_s2600_200f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKisland03_s2600_200f/06-20-04-18-generic_vo-HKisland03_s2600_200f_mapskip_10-,OK,0,0.45,2.11,2336,134,14,200,200,10,1,2.4,none,54.58,1,199,20.6191,0.723,0.2938,8,2.8472690825697966,2.434967674537456,27,27,16.0694,0.571,0.367,20,18.7,31.04,204.82,7.62,23.38,579.85,793.87,694.95,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKisland03_s2600_200f/06-20-04-18-generic_vo-HKisland03_s2600_200f_mapskip_10-/run_20260619_221815.log,
1781900338,1781900372,HKisland03,mapskip,mapskip_5,configs/local/HKisland03/s2600_200f/mapskip/HKisland03_s2600_200f_mapskip_5.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKisland03_s2600_200f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKisland03_s2600_200f/06-20-04-19-generic_vo-HKisland03_s2600_200f_mapskip_5-,OK,0,0.57,2.1,2914,134,27,200,200,5,1,2.4,none,79.42,1,199,22.1386,0.7728,0.2418,12,2.847270183710921,2.434948679665408,27,27,17.4327,0.6076,0.2782,20,24.9,30.96,202.78,7.61,23.3,525.36,864.99,747.9,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKisland03_s2600_200f/06-20-04-19-generic_vo-HKisland03_s2600_200f_mapskip_5-/run_20260619_221859.log,
1781900388,1781900423,HKisland03,mapskip,mapskip_3,configs/local/HKisland03/s2600_200f/mapskip/HKisland03_s2600_200f_mapskip_3.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKisland03_s2600_200f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKisland03_s2600_200f/06-20-04-19-generic_vo-HKisland03_s2600_200f_mapskip_3-,OK,0,0.58,2.1,3624,134,45,200,200,3,1,2.4,none,88.58,1,199,22.0882,0.7719,0.2455,13,2.847232252477157,2.434866038196375,27,27,17.794,0.6191,0.2786,20,26.0,31.23,205.94,7.76,23.42,335.27,872.95,752.65,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKisland03_s2600_200f/06-20-04-19-generic_vo-HKisland03_s2600_200f_mapskip_3-/run_20260619_221949.log,
1781900439,1781900474,HKisland03,mapskip,mapskip_2,configs/local/HKisland03/s2600_200f/mapskip/HKisland03_s2600_200f_mapskip_2.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKisland03_s2600_200f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKisland03_s2600_200f/06-20-04-20-generic_vo-HKisland03_s2600_200f_mapskip_2-,OK,0,0.58,2.1,3776,134,67,200,200,2,1,2.4,none,87.92,1,199,22.0501,0.7692,0.2493,12,2.8473468012033987,2.4350537833046593,27,27,17.4563,0.6119,0.2838,20,26.2,30.79,204.26,7.51,23.24,230.57,860.69,771.61,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKisland03_s2600_200f/06-20-04-20-generic_vo-HKisland03_s2600_200f_mapskip_2-/run_20260619_222040.log,
1781900490,1781900524,HKisland03,mapskip,mapskip_1,configs/local/HKisland03/s2600_200f/mapskip/HKisland03_s2600_200f_mapskip_1.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKisland03_s2600_200f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKisland03_s2600_200f/06-20-04-21-generic_vo-HKisland03_s2600_200f_mapskip_1-,OK,0,0.57,2.1,3564,134,134,200,200,1,1,2.4,none,88.61,1,199,21.4599,0.7473,0.2662,12,2.8471733932170338,2.4348844813319213,27,27,17.5651,0.6125,0.2788,20,25.7,30.88,205.07,7.58,23.26,109.78,791.8,732.87,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKisland03_s2600_200f/06-20-04-21-generic_vo-HKisland03_s2600_200f_mapskip_1-/run_20260619_222130.log,
1781900540,1781900552,HKisland03,skip_no_filter,nofilter_skip_20,configs/local/HKisland03/s2600_200f/skip_no_filter/HKisland03_s2600_200f_nofilter_skip_20.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKisland03_s2600_200f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKisland03_s2600_200f/06-20-04-22-generic_vo-HKisland03_s2600_200f_nofilter_skip_20-,OK,0,0.2,2.08,1170,2,2,10,200,1,20,-1.0,none,12.2,1,199,24.0184,0.8664,0.1589,1,1.8199704611299046,1.476936073644549,10,10,13.6887,0.3961,0.4428,20,3.9,154.73,320.8,50.31,104.37,329.89,0.04,583.57,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKisland03_s2600_200f/06-20-04-22-generic_vo-HKisland03_s2600_200f_nofilter_skip_20-/run_20260619_222220.log,
1781900568,1781900588,HKisland03,skip_no_filter,nofilter_skip_10,configs/local/HKisland03/s2600_200f/skip_no_filter/HKisland03_s2600_200f_nofilter_skip_10.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKisland03_s2600_200f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKisland03_s2600_200f/06-20-04-22-generic_vo-HKisland03_s2600_200f_nofilter_skip_10-,OK,0,0.33,2.1,2408,12,12,20,200,1,10,-1.0,none,47.45,1,199,22.2472,0.7779,0.2233,8,2.493092126120483,2.1773263874283866,20,20,16.8005,0.5792,0.3525,20,12.0,192.35,323.84,28.72,163.57,510.29,815.37,713.86,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKisland03_s2600_200f/06-20-04-22-generic_vo-HKisland03_s2600_200f_nofilter_skip_10-/run_20260619_222248.log,
1781900604,1781900648,HKisland03,skip_no_filter,nofilter_skip_5,configs/local/HKisland03/s2600_200f/skip_no_filter/HKisland03_s2600_200f_nofilter_skip_5.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKisland03_s2600_200f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKisland03_s2600_200f/06-20-04-23-generic_vo-HKisland03_s2600_200f_nofilter_skip_5-,OK,0,0.73,2.1,5914,32,32,40,200,1,5,-1.0,none,110.39,1,199,21.9562,0.7713,0.2586,18,3.025675551371341,2.6844908137753754,40,40,17.4238,0.6105,0.3241,20,36.0,198.44,267.63,17.6,180.78,788.19,994.89,805.69,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKisland03_s2600_200f/06-20-04-23-generic_vo-HKisland03_s2600_200f_nofilter_skip_5-/run_20260619_222325.log,
1781900665,1781900742,HKisland03,skip_no_filter,nofilter_skip_3,configs/local/HKisland03/s2600_200f/skip_no_filter/HKisland03_s2600_200f_nofilter_skip_3.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKisland03_s2600_200f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKisland03_s2600_200f/06-20-04-24-generic_vo-HKisland03_s2600_200f_nofilter_skip_3-,OK,0,1.28,2.1,7810,59,59,67,200,1,3,-1.0,none,146.79,1,199,22.19,0.7707,0.2654,33,3.5738584901711565,3.1749976345542006,67,67,17.2328,0.5693,0.3124,20,68.8,201.89,232.18,13.16,188.68,871.8,1125.45,904.47,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKisland03_s2600_200f/06-20-04-24-generic_vo-HKisland03_s2600_200f_nofilter_skip_3-/run_20260619_222425.log,
1781900759,1781900900,HKisland03,skip_no_filter,nofilter_skip_2,configs/local/HKisland03/s2600_200f/skip_no_filter/HKisland03_s2600_200f_nofilter_skip_2.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKisland03_s2600_200f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKisland03_s2600_200f/06-20-04-26-generic_vo-HKisland03_s2600_200f_nofilter_skip_2-,OK,0,2.35,2.11,6500,92,92,100,200,1,2,-1.0,none,212.06,1,199,22.6877,0.7889,0.2329,59,4.0932876880359625,3.67383205050549,100,100,16.5829,0.4956,0.3472,20,131.4,204.78,225.21,10.88,193.84,1150.79,1471.58,1169.91,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKisland03_s2600_200f/06-20-04-26-generic_vo-HKisland03_s2600_200f_nofilter_skip_2-/run_20260619_222559.log,
1781900916,1781901303,HKisland03,skip_no_filter,nofilter_skip_1,configs/local/HKisland03/s2600_200f/skip_no_filter/HKisland03_s2600_200f_nofilter_skip_1.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKisland03_s2600_200f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKisland03_s2600_200f/06-20-04-28-generic_vo-HKisland03_s2600_200f_nofilter_skip_1-,FAIL,1,6.45,1.92,9486,180,180,188,200,1,1,-1.0,none,310.64,1,157,23.8522,0.8221,0.1761,123,,,,,,,,,357.1,204.77,211.64,8.82,195.9,1732.97,2388.98,1733.23,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKisland03_s2600_200f/06-20-04-28-generic_vo-HKisland03_s2600_200f_nofilter_skip_1-/run_20260619_222837.log,
1781901319,1781901392,HKisland03,adaptive_kf,adaptive_kf,configs/local/HKisland03/s2600_200f/adaptive_kf/HKisland03_s2600_200f_adaptive_kf.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKisland03_s2600_200f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKisland03_s2600_200f/06-20-04-35-generic_vo-HKisland03_s2600_200f_adaptive_kf-,OK,0,1.22,2.11,2488,192,20,200,200,1,1,-1.0,adaptive_kf,85.76,1,199,22.6905,0.7986,0.2391,20,4.81768467496886,4.40979650971698,200,200,16.5093,0.5224,0.3568,20,64.4,209.59,216.86,10.23,199.3,747.67,811.19,697.21,10.74,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKisland03_s2600_200f/06-20-04-35-generic_vo-HKisland03_s2600_200f_adaptive_kf-/run_20260619_223520.log,
1781901409,1781901482,HKisland03,adaptive_kf,adaptive_kf_decay85,configs/local/HKisland03/s2600_200f/adaptive_kf/HKisland03_s2600_200f_adaptive_kf_decay85.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKisland03_s2600_200f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKisland03_s2600_200f/06-20-04-36-generic_vo-HKisland03_s2600_200f_adaptive_kf_decay85-,OK,0,1.22,2.11,2834,192,19,200,200,1,1,-1.0,adaptive_kf,86.04,1,199,22.4044,0.7896,0.2461,17,4.811248064635246,4.404415864325094,200,200,16.4939,0.5143,0.3593,20,64.4,210.54,220.8,10.75,199.73,759.75,802.98,704.44,10.52,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_HKisland03_s2600_200f/06-20-04-36-generic_vo-HKisland03_s2600_200f_adaptive_kf_decay85-/run_20260619_223649.log,
