timestamp_start,timestamp_end,dataset,group,variant,config_path,save_dir,out_dir,status,exit_code,duration_min,peak_ram_gb,peak_vram_mib,n_keyframes,n_mapped,n_processed,n_dataset_frames,mapper_kf_skip,frame_skip,filter_thresh,selector_kind,ply_mb_final,ply_count,last_ply_kf,psnr,ssim,lpips,n_metric_frames,ate_rmse_m,ate_mean_m,n_ate_pairs,n_tracked,psnr_ho,ssim_ho,lpips_ho,n_eval_ho,wall_total_s,track_total_mean_ms,track_total_p95_ms,track_motion_filter_mean_ms,track_frontend_ba_mean_ms,map_total_mean_ms,map_total_p95_ms,map_train_loop_mean_ms,frame_select_mean_ms,log_path,crash_reason
1781122170,1781122182,agz,baseline,vings_filter,configs/local/agz/s7950_200f/baseline/agz_s7950_200f_vings_filter.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_agz_s7950_200f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_agz_s7950_200f/06-11-04-09-generic_vo-agz_s7950_200f_vings_filter-,OK,0,0.2,1.49,1438,0,0,200,200,1,1,2.4,none,,0,,,,,0,,,,,,,,,4.7,11.28,6.03,6.74,4.5,,,,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_agz_s7950_200f/06-11-04-09-generic_vo-agz_s7950_200f_vings_filter-/run_20260610_220930.log,
1781122198,1781122210,agz,mapskip,mapskip_20,configs/local/agz/s7950_200f/mapskip/agz_s7950_200f_mapskip_20.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_agz_s7950_200f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_agz_s7950_200f/06-11-04-10-generic_vo-agz_s7950_200f_mapskip_20-,OK,0,0.2,1.5,1346,0,0,200,200,20,1,2.4,none,,0,,,,,0,,,,,,,,,4.7,11.49,6.06,6.92,4.53,,,,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_agz_s7950_200f/06-11-04-10-generic_vo-agz_s7950_200f_mapskip_20-/run_20260610_220958.log,
1781122226,1781122238,agz,mapskip,mapskip_10,configs/local/agz/s7950_200f/mapskip/agz_s7950_200f_mapskip_10.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_agz_s7950_200f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_agz_s7950_200f/06-11-04-10-generic_vo-agz_s7950_200f_mapskip_10-,OK,0,0.2,1.5,1362,0,0,200,200,10,1,2.4,none,,0,,,,,0,,,,,,,,,4.7,11.55,5.49,6.99,4.52,,,,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_agz_s7950_200f/06-11-04-10-generic_vo-agz_s7950_200f_mapskip_10-/run_20260610_221027.log,
1781122254,1781122266,agz,mapskip,mapskip_5,configs/local/agz/s7950_200f/mapskip/agz_s7950_200f_mapskip_5.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_agz_s7950_200f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_agz_s7950_200f/06-11-04-10-generic_vo-agz_s7950_200f_mapskip_5-,OK,0,0.2,1.49,1566,0,0,200,200,5,1,2.4,none,,0,,,,,0,,,,,,,,,4.3,11.36,5.47,6.79,4.52,,,,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_agz_s7950_200f/06-11-04-10-generic_vo-agz_s7950_200f_mapskip_5-/run_20260610_221055.log,
1781122283,1781122294,agz,mapskip,mapskip_3,configs/local/agz/s7950_200f/mapskip/agz_s7950_200f_mapskip_3.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_agz_s7950_200f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_agz_s7950_200f/06-11-04-11-generic_vo-agz_s7950_200f_mapskip_3-,OK,0,0.18,1.5,1350,0,0,200,200,3,1,2.4,none,,0,,,,,0,,,,,,,,,4.8,11.78,6.04,7.19,4.54,,,,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_agz_s7950_200f/06-11-04-11-generic_vo-agz_s7950_200f_mapskip_3-/run_20260610_221123.log,
1781122311,1781122323,agz,mapskip,mapskip_2,configs/local/agz/s7950_200f/mapskip/agz_s7950_200f_mapskip_2.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_agz_s7950_200f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_agz_s7950_200f/06-11-04-11-generic_vo-agz_s7950_200f_mapskip_2-,OK,0,0.2,1.5,1566,0,0,200,200,2,1,2.4,none,,0,,,,,0,,,,,,,,,4.6,11.28,5.42,6.71,4.53,,,,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_agz_s7950_200f/06-11-04-11-generic_vo-agz_s7950_200f_mapskip_2-/run_20260610_221151.log,
1781122339,1781122351,agz,mapskip,mapskip_1,configs/local/agz/s7950_200f/mapskip/agz_s7950_200f_mapskip_1.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_agz_s7950_200f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_agz_s7950_200f/06-11-04-12-generic_vo-agz_s7950_200f_mapskip_1-,OK,0,0.2,1.51,1566,0,0,200,200,1,1,2.4,none,,0,,,,,0,,,,,,,,,4.4,11.45,5.35,6.81,4.59,,,,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_agz_s7950_200f/06-11-04-12-generic_vo-agz_s7950_200f_mapskip_1-/run_20260610_221219.log,
1781122367,1781122381,agz,skip_no_filter,nofilter_skip_20,configs/local/agz/s7950_200f/skip_no_filter/agz_s7950_200f_nofilter_skip_20.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_agz_s7950_200f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_agz_s7950_200f/06-11-04-12-generic_vo-agz_s7950_200f_nofilter_skip_20-,OK,0,0.23,2.09,1934,2,2,10,200,1,20,-1.0,none,32.0,1,199,22.8681,0.6965,0.2451,2,0.3645953957855535,0.33067954082674544,10,10,16.698,0.4332,0.3563,20,5.7,189.31,313.19,48.81,140.44,831.5,784.38,720.73,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_agz_s7950_200f/06-11-04-12-generic_vo-agz_s7950_200f_nofilter_skip_20-/run_20260610_221247.log,
1781122397,1781122420,agz,skip_no_filter,nofilter_skip_10,configs/local/agz/s7950_200f/skip_no_filter/agz_s7950_200f_nofilter_skip_10.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_agz_s7950_200f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_agz_s7950_200f/06-11-04-13-generic_vo-agz_s7950_200f_nofilter_skip_10-,OK,0,0.38,2.11,3312,12,12,20,200,1,10,-1.0,none,53.66,1,199,22.333,0.6823,0.2456,7,0.35298162746791445,0.3130480172320317,20,20,18.5976,0.5267,0.2756,20,15.2,221.04,328.07,26.63,194.36,691.58,980.49,781.68,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_agz_s7950_200f/06-11-04-13-generic_vo-agz_s7950_200f_nofilter_skip_10-/run_20260610_221317.log,
1781122436,1781122492,agz,skip_no_filter,nofilter_skip_5,configs/local/agz/s7950_200f/skip_no_filter/agz_s7950_200f_nofilter_skip_5.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_agz_s7950_200f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_agz_s7950_200f/06-11-04-14-generic_vo-agz_s7950_200f_nofilter_skip_5-,FAIL,1,0.93,2.11,9770,32,32,40,200,1,5,-1.0,none,125.92,1,199,22.5374,0.6745,0.247,22,0.3839736980149164,0.3369184910809514,40,40,18.0937,0.4495,0.2792,20,47.4,232.64,301.11,16.27,216.31,1082.75,1445.97,1109.14,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_agz_s7950_200f/06-11-04-14-generic_vo-agz_s7950_200f_nofilter_skip_5-/run_20260610_221357.log,
1781122509,1781122624,agz,skip_no_filter,nofilter_skip_3,configs/local/agz/s7950_200f/skip_no_filter/agz_s7950_200f_nofilter_skip_3.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_agz_s7950_200f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_agz_s7950_200f/06-11-04-15-generic_vo-agz_s7950_200f_nofilter_skip_3-,FAIL,1,1.92,1.9,9740,50,50,58,200,1,3,-1.0,none,192.12,1,171,22.664,0.6696,0.2642,43,,,,,,,,,84.8,236.84,296.99,13.49,223.3,1379.03,1980.46,1388.77,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_agz_s7950_200f/06-11-04-15-generic_vo-agz_s7950_200f_nofilter_skip_3-/run_20260610_221509.log,
1781122641,1781122763,agz,skip_no_filter,nofilter_skip_2,configs/local/agz/s7950_200f/skip_no_filter/agz_s7950_200f_nofilter_skip_2.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_agz_s7950_200f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_agz_s7950_200f/06-11-04-17-generic_vo-agz_s7950_200f_nofilter_skip_2-,FAIL,1,2.03,1.9,9416,60,60,68,200,1,2,-1.0,none,183.53,1,114,23.5295,0.7122,0.2316,37,,,,,,,,,111.7,239.75,275.24,12.62,227.08,1548.46,2248.49,1607.66,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_agz_s7950_200f/06-11-04-17-generic_vo-agz_s7950_200f_nofilter_skip_2-/run_20260610_221721.log,
1781122779,1781122877,agz,skip_no_filter,nofilter_skip_1,configs/local/agz/s7950_200f/skip_no_filter/agz_s7950_200f_nofilter_skip_1.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_agz_s7950_200f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_agz_s7950_200f/06-11-04-19-generic_vo-agz_s7950_200f_nofilter_skip_1-,FAIL,1,1.63,1.92,4264,90,90,98,200,1,1,-1.0,none,454.67,1,57,7.0776,0.0523,0.9778,62,,,,,,,,,80.5,241.24,273.93,10.45,230.74,589.84,745.8,550.91,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_agz_s7950_200f/06-11-04-19-generic_vo-agz_s7950_200f_nofilter_skip_1-/run_20260610_221940.log,
1781122893,1781123080,agz,adaptive_kf,adaptive_kf,configs/local/agz/s7950_200f/adaptive_kf/agz_s7950_200f_adaptive_kf.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_agz_s7950_200f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_agz_s7950_200f/06-11-04-21-generic_vo-agz_s7950_200f_adaptive_kf-,OK,0,3.12,2.11,9616,192,146,200,200,1,1,-1.0,adaptive_kf,1414.48,1,199,7.8216,0.063,0.9577,100,0.7642895733737664,0.6376531287277004,200,200,11.8045,0.1811,0.8669,20,174.2,246.36,257.97,8.85,237.45,736.82,1025.73,653.88,6.28,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_agz_s7950_200f/06-11-04-21-generic_vo-agz_s7950_200f_adaptive_kf-/run_20260610_222134.log,
