survey_name,timestamp,dataset,selector_kind,n_segments,n_ok,n_fail,duration_total_min,wall_total_s,ply_mb_merged,n_gaussians_merged,n_keyframes_total,n_mapped_total,n_dataset_frames_total,psnr_min,psnr_max,psnr_mean,ssim_min,ssim_max,ssim_mean,lpips_min,lpips_max,lpips_mean,ate_rmse_m_min,ate_rmse_m_max,ate_rmse_m_mean,psnr_ho_min,psnr_ho_max,psnr_ho_mean,ssim_ho_min,ssim_ho_max,ssim_ho_mean,lpips_ho_min,lpips_ho_max,lpips_ho_mean,peak_vram_mib_min,peak_vram_mib_max,peak_vram_mib_mean,peak_ram_gb_min,peak_ram_gb_max,peak_ram_gb_mean,duration_min_min,duration_min_max,duration_min_mean,psnr_wmean,ate_rmse_m_wmean
none,1781650944,interval1,none,31,0,31,107.41,5882.2,2837.45,11628871,1900.0,1900.0,15500.0,9.2461,25.0029,15.8215,0.0983,0.7726,0.4332,0.214,0.9579,0.5997,,,,,,,,,,,,,6783.0,9855.0,9352.1333,1.81,1.93,1.9107,1.06,8.06,3.5803,16.0549,
vista,1781656166,interval1,vista,32,30,2,81.21,4700.9,96.58,395820,15160.0,210.0,16000.0,8.8211,29.5707,16.9759,0.1207,0.9164,0.5243,0.0771,1.0064,0.5568,0.4869,2.305,1.3248,5.663,16.0042,11.307,0.0003,0.463,0.192,0.3247,1.0617,0.7579,2279.0,9771.0,2895.3125,1.7,2.43,2.1194,1.18,6.37,2.5378,17.2782,1.3248
mm3dgs,1781661358,interval1,mm3dgs,32,32,0,83.96,4874.8,390.96,1602295,15744.0,244.0,16000.0,9.4639,26.748,18.0435,0.111,0.8199,0.5261,0.1952,1.0052,0.5471,0.4909,2.3665,1.3633,5.3878,16.6162,11.435,0.0003,0.3565,0.1771,0.4132,1.0501,0.7386,2305.0,5827.0,2811.125,2.12,2.17,2.1362,2.43,3.0,2.6238,18.4787,1.3633
adaptive_kf,1781666478,interval1,adaptive_kf,32,30,2,82.99,4788.1,205.88,843777,15140.0,110.0,16000.0,7.7568,30.4311,17.3771,0.0488,0.9261,0.5087,0.0621,1.0083,0.5913,0.4638,2.377,1.2948,5.3878,16.2259,10.2547,0.0003,0.3533,0.1537,0.4772,1.0903,0.8405,2273.0,9785.0,2881.25,1.92,2.17,2.1187,1.39,2.73,2.5934,13.37,1.2948
nurbs,1781676160,interval1,nurbs_lvi,32,25,7,155.76,9139.8,901.65,3695262,14712.0,1591.0,16000.0,9.9279,26.409,17.8011,0.1252,0.817,0.5227,0.1711,0.9637,0.5235,0.5337,2.4334,1.4105,8.0407,14.3359,11.2885,0.0615,0.277,0.1636,0.5639,0.9446,0.7399,2585.0,9859.0,5281.9062,1.77,2.5,2.2184,0.44,13.25,4.8675,18.7116,1.4105
game,1781682952,interval1,game_kfs,32,13,19,107.22,6041.0,2440.36,10001489,9666.0,1446.0,16000.0,8.2211,23.1729,15.0299,0.0757,0.7546,0.4253,0.2809,0.9504,0.6159,0.4864,2.3573,1.212,9.5505,17.3999,13.0538,0.0968,0.3619,0.2183,0.2862,0.8516,0.6232,2721.0,9857.0,6657.625,1.99,2.46,2.1169,1.11,9.85,3.3506,13.6369,1.212
orbslam,1781692012,interval1,orbslam3,32,7,25,137.51,7992.4,1889.31,7743064,11586.0,1901.0,16000.0,7.9466,21.3065,15.463,0.0652,0.7861,0.4225,0.2144,0.9881,0.6035,0.7427,2.1742,1.6327,6.861,15.1233,10.8204,0.0537,0.2408,0.1499,0.5979,0.7653,0.6973,3773.0,9863.0,8318.1875,1.9,2.41,2.1053,1.4,9.95,4.2972,15.5169,1.6327
coko,1781700595,interval1,coko_slam,32,13,19,135.99,7577.5,1438.41,5895131,10998.0,1476.0,16000.0,7.5745,20.9857,15.165,0.0441,0.6972,0.4234,0.3208,1.0179,0.6104,0.5344,2.2915,1.4964,5.7697,15.5283,9.7855,0.0143,0.2605,0.1204,0.5591,0.9358,0.7927,2623.0,9829.0,6887.625,1.96,2.25,2.0944,1.5,9.35,4.2497,15.1267,1.4964
aim,1781706771,interval1,aim_slam,32,1,31,94.91,5121.2,2369.42,9710736,4192.0,1470.0,16000.0,8.0705,22.0821,15.9161,0.0661,0.7196,0.4511,0.2781,0.9811,0.5861,1.4881,1.4881,1.4881,10.2676,10.2676,10.2676,0.0993,0.0993,0.0993,0.8306,0.8306,0.8306,2843.0,9863.0,8792.2903,1.97,2.22,2.0316,1.15,6.74,3.0616,15.9659,1.4881
two_gate_v2,1781707764,interval1,two_gate_v2,30,30,0,12.41,580.3,143.93,589876,617.0,60.0,15000.0,15.2761,27.3947,22.1294,0.5829,0.9024,0.7705,0.0797,0.447,0.2144,0.4369,2.1346,1.0919,8.783,20.0214,15.525,0.1588,0.6821,0.4907,0.1631,0.6724,0.3443,1539.0,9844.0,3291.5333,2.17,2.21,2.1873,0.31,0.51,0.4137,21.8537,1.16
