timestamp_start,timestamp_end,dataset,group,variant,config_path,save_dir,out_dir,status,exit_code,duration_min,peak_ram_gb,peak_vram_mib,n_keyframes,n_mapped,n_processed,n_dataset_frames,mapper_kf_skip,frame_skip,filter_thresh,selector_kind,ply_mb_final,ply_count,last_ply_kf,psnr,ssim,lpips,n_metric_frames,ate_rmse_m,ate_mean_m,n_ate_pairs,n_tracked,psnr_ho,ssim_ho,lpips_ho,n_eval_ho,wall_total_s,track_total_mean_ms,track_total_p95_ms,track_motion_filter_mean_ms,track_frontend_ba_mean_ms,map_total_mean_ms,map_total_p95_ms,map_train_loop_mean_ms,frame_select_mean_ms,log_path,crash_reason
1781256029,1781256063,amtown03,baseline,vings_filter,configs/local/amtown03/s5000_200f/baseline/amtown03_s5000_200f_vings_filter.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_s5000_200f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_s5000_200f/06-12-17-20-generic_vo-amtown03_s5000_200f_vings_filter-,OK,0,0.57,2.1,2707,148,148,200,200,1,1,2.4,none,111.72,1,199,22.6589,0.7354,0.2251,13,5.188211130464684,4.451831513237133,28,28,13.9946,0.291,0.3466,20,25.4,30.11,184.44,7.2,22.86,97.89,833.34,749.02,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_s5000_200f/06-12-17-20-generic_vo-amtown03_s5000_200f_vings_filter-/run_20260612_112030.log,
1781256080,1781256103,amtown03,mapskip,mapskip_20,configs/local/amtown03/s5000_200f/mapskip/amtown03_s5000_200f_mapskip_20.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_s5000_200f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_s5000_200f/06-12-17-21-generic_vo-amtown03_s5000_200f_mapskip_20-,OK,0,0.38,2.11,1649,148,8,200,200,20,1,2.4,none,63.68,1,199,19.8272,0.6618,0.3229,6,5.188072578986016,4.451729228640608,28,28,13.5509,0.2787,0.4406,20,15.0,30.2,186.19,7.14,23.01,597.63,741.22,618.8,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_s5000_200f/06-12-17-21-generic_vo-amtown03_s5000_200f_mapskip_20-/run_20260612_112120.log,
1781256119,1781256145,amtown03,mapskip,mapskip_10,configs/local/amtown03/s5000_200f/mapskip/amtown03_s5000_200f_mapskip_10.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_s5000_200f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_s5000_200f/06-12-17-22-generic_vo-amtown03_s5000_200f_mapskip_10-,OK,0,0.43,2.11,2167,148,15,200,200,10,1,2.4,none,74.76,1,199,18.6691,0.6568,0.3163,10,5.188181499155783,4.451836375959594,28,28,13.572,0.2778,0.4457,20,18.4,30.04,186.81,6.9,23.1,558.3,779.49,644.11,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_s5000_200f/06-12-17-22-generic_vo-amtown03_s5000_200f_mapskip_10-/run_20260612_112159.log,
1781256162,1781256195,amtown03,mapskip,mapskip_5,configs/local/amtown03/s5000_200f/mapskip/amtown03_s5000_200f_mapskip_5.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_s5000_200f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_s5000_200f/06-12-17-22-generic_vo-amtown03_s5000_200f_mapskip_5-,OK,0,0.55,2.11,2527,148,30,200,200,5,1,2.4,none,111.69,1,199,23.3028,0.7543,0.2192,14,5.1879107934540105,4.451647173023816,28,28,14.0515,0.2955,0.3506,20,24.9,29.92,183.04,7.13,22.75,485.2,898.97,754.12,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_s5000_200f/06-12-17-22-generic_vo-amtown03_s5000_200f_mapskip_5-/run_20260612_112242.log,
1781256212,1781256244,amtown03,mapskip,mapskip_3,configs/local/amtown03/s5000_200f/mapskip/amtown03_s5000_200f_mapskip_3.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_s5000_200f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_s5000_200f/06-12-17-23-generic_vo-amtown03_s5000_200f_mapskip_3-,OK,0,0.53,2.11,2509,148,50,200,200,3,1,2.4,none,112.31,1,199,23.1005,0.7479,0.2208,12,5.188257870875842,4.4519258594650655,28,28,13.9707,0.2908,0.3473,20,24.8,29.91,184.64,6.88,22.99,279.54,876.32,722.01,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_s5000_200f/06-12-17-23-generic_vo-amtown03_s5000_200f_mapskip_3-/run_20260612_112332.log,
1781256260,1781256293,amtown03,mapskip,mapskip_2,configs/local/amtown03/s5000_200f/mapskip/amtown03_s5000_200f_mapskip_2.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_s5000_200f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_s5000_200f/06-12-17-24-generic_vo-amtown03_s5000_200f_mapskip_2-,OK,0,0.55,2.11,2691,148,74,200,200,2,1,2.4,none,111.62,1,199,22.4072,0.7337,0.2267,16,5.188459055932636,4.452086827706364,28,28,13.962,0.2937,0.3489,20,24.8,29.83,183.14,6.93,22.86,194.14,843.47,743.25,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_s5000_200f/06-12-17-24-generic_vo-amtown03_s5000_200f_mapskip_2-/run_20260612_112421.log,
1781256309,1781256342,amtown03,mapskip,mapskip_1,configs/local/amtown03/s5000_200f/mapskip/amtown03_s5000_200f_mapskip_1.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_s5000_200f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_s5000_200f/06-12-17-25-generic_vo-amtown03_s5000_200f_mapskip_1-,OK,0,0.55,2.12,2737,148,148,200,200,1,1,2.4,none,112.06,1,199,22.3958,0.7326,0.2258,11,5.188085990643481,4.451792777972348,28,28,14.0206,0.2944,0.3499,20,24.4,29.93,183.16,7.04,22.85,93.41,764.15,712.85,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_s5000_200f/06-12-17-25-generic_vo-amtown03_s5000_200f_mapskip_1-/run_20260612_112510.log,
1781256358,1781256370,amtown03,skip_no_filter,nofilter_skip_20,configs/local/amtown03/s5000_200f/skip_no_filter/amtown03_s5000_200f_nofilter_skip_20.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_s5000_200f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_s5000_200f/06-12-17-26-generic_vo-amtown03_s5000_200f_nofilter_skip_20-,OK,0,0.2,2.08,907,2,2,10,200,1,20,-1.0,none,12.2,1,199,25.5015,0.8459,0.1634,1,4.681128799043369,4.143893904051109,10,10,10.2426,0.1434,0.6668,20,3.8,148.89,308.02,48.11,100.73,301.49,0.05,527.29,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_s5000_200f/06-12-17-26-generic_vo-amtown03_s5000_200f_nofilter_skip_20-/run_20260612_112559.log,
1781256386,1781256405,amtown03,skip_no_filter,nofilter_skip_10,configs/local/amtown03/s5000_200f/skip_no_filter/amtown03_s5000_200f_nofilter_skip_10.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_s5000_200f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_s5000_200f/06-12-17-26-generic_vo-amtown03_s5000_200f_nofilter_skip_10-,OK,0,0.32,2.11,1549,12,12,20,200,1,10,-1.0,none,49.17,1,199,21.4224,0.6876,0.2736,5,4.975545007394061,4.31285056027217,20,20,15.836,0.4057,0.451,20,10.7,172.99,306.74,27.02,145.93,444.36,707.59,613.71,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_s5000_200f/06-12-17-26-generic_vo-amtown03_s5000_200f_nofilter_skip_10-/run_20260612_112626.log,
1781256421,1781256461,amtown03,skip_no_filter,nofilter_skip_5,configs/local/amtown03/s5000_200f/skip_no_filter/amtown03_s5000_200f_nofilter_skip_5.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_s5000_200f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_s5000_200f/06-12-17-27-generic_vo-amtown03_s5000_200f_nofilter_skip_5-,OK,0,0.67,2.1,3665,32,32,40,200,1,5,-1.0,none,136.48,1,199,20.4013,0.6657,0.317,18,5.1745050219221405,4.435016239914106,40,40,15.3235,0.4401,0.3318,20,31.7,190.13,260.07,16.78,173.3,666.23,859.34,714.76,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_s5000_200f/06-12-17-27-generic_vo-amtown03_s5000_200f_nofilter_skip_5-/run_20260612_112702.log,
