timestamp_start,timestamp_end,dataset,group,variant,config_path,save_dir,out_dir,status,exit_code,duration_min,peak_ram_gb,peak_vram_mib,n_keyframes,n_mapped,n_processed,n_dataset_frames,mapper_kf_skip,frame_skip,filter_thresh,selector_kind,ply_mb_final,ply_count,last_ply_kf,psnr,ssim,lpips,n_metric_frames,ate_rmse_m,ate_mean_m,n_ate_pairs,n_tracked,psnr_ho,ssim_ho,lpips_ho,n_eval_ho,wall_total_s,track_total_mean_ms,track_total_p95_ms,track_motion_filter_mean_ms,track_frontend_ba_mean_ms,map_total_mean_ms,map_total_p95_ms,map_train_loop_mean_ms,frame_select_mean_ms,log_path,crash_reason
1780156348,1780157155,amtown03,baseline,vings_filter,configs/local/amtown03/full_6199f/baseline/amtown03_full_6199f_vings_filter.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_full_6199f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_full_6199f/05-30-23-52-generic_vo-amtown03_full_6199f_vings_filter-,FAIL,1,13.45,3.86,9620,3590,3590,3655,6199,1,1,2.4,none,1047.61,1,3614,22.2509,0.7126,0.2661,277,,,,,,,,,786.8,26.9,197.05,5.35,21.5,123.83,1019.84,1042.06,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_full_6199f/05-30-23-52-generic_vo-amtown03_full_6199f_vings_filter-/run_20260530_175228.log,
1780157172,1780157577,amtown03,mapskip,mapskip_20,configs/local/amtown03/full_6199f/mapskip/amtown03_full_6199f_mapskip_20.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_full_6199f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_full_6199f/05-31-00-06-generic_vo-amtown03_full_6199f_mapskip_20-,FAIL,1,6.75,3.5,9280,4700,235,4765,6199,20,1,2.4,none,791.41,1,4045,16.9485,0.5275,0.4413,183,,,,,,,,,390.3,29.1,197.06,5.06,24.0,699.2,1184.34,760.04,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_full_6199f/05-31-00-06-generic_vo-amtown03_full_6199f_mapskip_20-/run_20260530_180612.log,
1780157594,1780158082,amtown03,mapskip,mapskip_10,configs/local/amtown03/full_6199f/mapskip/amtown03_full_6199f_mapskip_10.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_full_6199f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_full_6199f/05-31-00-13-generic_vo-amtown03_full_6199f_mapskip_10-,FAIL,1,8.13,3.65,8995,4020,402,4085,6199,10,1,2.4,none,1148.6,1,4055,18.5115,0.5952,0.3857,239,,,,,,,,,472.5,27.42,195.93,5.17,22.2,691.91,1237.46,833.01,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_full_6199f/05-31-00-13-generic_vo-amtown03_full_6199f_mapskip_10-/run_20260530_181314.log,
1780158101,1780158680,amtown03,mapskip,mapskip_5,configs/local/amtown03/full_6199f/mapskip/amtown03_full_6199f_mapskip_5.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_full_6199f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_full_6199f/05-31-00-21-generic_vo-amtown03_full_6199f_mapskip_5-,FAIL,1,9.65,3.72,9170,3580,716,3645,6199,5,1,2.4,none,998.93,1,3560,21.6315,0.6954,0.2826,255,,,,,,,,,561.1,26.48,194.19,5.16,21.28,527.02,1329.76,951.15,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_full_6199f/05-31-00-21-generic_vo-amtown03_full_6199f_mapskip_5-/run_20260530_182141.log,
1780158696,1780159330,amtown03,mapskip,mapskip_3,configs/local/amtown03/full_6199f/mapskip/amtown03_full_6199f_mapskip_3.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_full_6199f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_full_6199f/05-31-00-31-generic_vo-amtown03_full_6199f_mapskip_3-,FAIL,1,10.57,,,3560,1187,3625,6199,3,1,2.4,none,985.52,23,3512,,,,,,,,,,,,,612.4,26.4,193.15,5.16,21.19,346.67,1285.37,985.46,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_full_6199f/05-31-00-31-generic_vo-amtown03_full_6199f_mapskip_3-/run_20260530_183137.log,
1780159346,1780160042,amtown03,mapskip,mapskip_2,configs/local/amtown03/full_6199f/mapskip/amtown03_full_6199f_mapskip_2.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_full_6199f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_full_6199f/05-31-00-42-generic_vo-amtown03_full_6199f_mapskip_2-,FAIL,1,11.6,3.86,9207,3560,1780,3625,6199,2,1,2.4,none,1037.29,1,3563,21.8498,0.7008,0.2683,264,,,,,,,,,676.6,26.46,194.68,5.26,21.16,242.79,1253.87,1028.28,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_full_6199f/05-31-00-42-generic_vo-amtown03_full_6199f_mapskip_2-/run_20260530_184226.log,
1780160058,1780160187,amtown03,mapskip,mapskip_1,configs/local/amtown03/full_6199f/mapskip/amtown03_full_6199f_mapskip_1.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_full_6199f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_full_6199f/05-31-00-54-generic_vo-amtown03_full_6199f_mapskip_1-,FAIL,1,2.15,2.09,9409,1220,1220,1285,6199,1,1,2.4,none,268.25,1,1264,21.2931,0.6181,0.3786,46,,,,,,,,,117.1,15.99,177.52,5.28,10.67,55.79,589.09,1025.72,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_full_6199f/05-31-00-54-generic_vo-amtown03_full_6199f_mapskip_1-/run_20260530_185418.log,
1780160203,1780160615,amtown03,skip_no_filter,nofilter_skip_20,configs/local/amtown03/full_6199f/skip_no_filter/amtown03_full_6199f_nofilter_skip_20.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_full_6199f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_full_6199f/05-31-00-56-generic_vo-amtown03_full_6199f_nofilter_skip_20-,FAIL,1,6.87,2.03,9607,260,260,268,6199,1,20,-1.0,none,1339.27,1,5140,18.0325,0.5387,0.4142,178,,,,,,,,,375.3,191.21,204.08,8.02,183.14,1173.99,2240.14,1170.27,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_full_6199f/05-31-00-56-generic_vo-amtown03_full_6199f_nofilter_skip_20-/run_20260530_185644.log,
1780160631,1780160942,amtown03,skip_no_filter,nofilter_skip_10,configs/local/amtown03/full_6199f/skip_no_filter/amtown03_full_6199f_nofilter_skip_10.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_full_6199f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_full_6199f/05-31-01-03-generic_vo-amtown03_full_6199f_nofilter_skip_10-,FAIL,1,5.18,2.02,8104,120,120,128,6199,1,10,-1.0,none,289.86,1,1070,23.8858,0.733,0.2558,78,,,,,,,,,285.9,203.07,236.06,9.84,193.18,2128.78,4009.57,2195.19,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_full_6199f/05-31-01-03-generic_vo-amtown03_full_6199f_nofilter_skip_10-/run_20260530_190351.log,
1780160958,1780161207,amtown03,skip_no_filter,nofilter_skip_5,configs/local/amtown03/full_6199f/skip_no_filter/amtown03_full_6199f_nofilter_skip_5.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_full_6199f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_full_6199f/05-31-01-09-generic_vo-amtown03_full_6199f_nofilter_skip_5-,FAIL,1,4.15,2.03,9389,110,110,118,6199,1,5,-1.0,none,243.35,1,535,25.7546,0.7499,0.2217,72,,,,,,,,,233.6,198.35,228.15,9.97,188.33,1874.34,3273.68,1893.51,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_full_6199f/05-31-01-09-generic_vo-amtown03_full_6199f_nofilter_skip_5-/run_20260530_190919.log,
