timestamp_start,timestamp_end,dataset,group,variant,config_path,save_dir,out_dir,status,exit_code,duration_min,peak_ram_gb,peak_vram_mib,n_keyframes,n_mapped,n_processed,n_dataset_frames,mapper_kf_skip,frame_skip,filter_thresh,selector_kind,ply_mb_final,ply_count,last_ply_kf,psnr,ssim,lpips,n_metric_frames,ate_rmse_m,ate_mean_m,n_ate_pairs,n_tracked,psnr_ho,ssim_ho,lpips_ho,n_eval_ho,wall_total_s,track_total_mean_ms,track_total_p95_ms,track_motion_filter_mean_ms,track_frontend_ba_mean_ms,map_total_mean_ms,map_total_p95_ms,map_train_loop_mean_ms,frame_select_mean_ms,log_path,crash_reason
1780594177,1780594385,interval1,survey,s0,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_interval1_survey/cfg_s0.yaml,output/exp_interval1_survey/s0,output/exp_interval1_survey/s0/06-05-01-29-generic_vo-cfg_s0-,FAIL,137,3.46,2.0,9747,60,60,68,500,1,1,-1.0,none,129.98,1,60,21.2625,0.5363,0.5538,43,,,,,,,,,161.4,199.26,236.29,12.67,186.53,2397.92,4046.89,2478.0,,output/exp_interval1_survey/s0/06-05-01-29-generic_vo-cfg_s0-/run_20260604_192934.log,
1780594399,1780595205,interval1,survey,s300,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_interval1_survey/cfg_s300.yaml,output/exp_interval1_survey/s300,output/exp_interval1_survey/s300/06-05-01-33-generic_vo-cfg_s300-,FAIL,137,13.42,2.05,9462,180,180,188,500,1,1,-1.0,none,303.99,1,180,24.9262,0.7577,0.2036,127,,,,,,,,,755.1,201.32,208.36,8.99,192.27,3916.36,5775.21,3918.35,,output/exp_interval1_survey/s300/06-05-01-33-generic_vo-cfg_s300-/run_20260604_193312.log,
1780595217,1780595413,interval1,survey,s600,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_interval1_survey/cfg_s600.yaml,output/exp_interval1_survey/s600,output/exp_interval1_survey/s600/06-05-01-46-generic_vo-cfg_s600-,FAIL,137,3.26,2.0,9832,100,100,108,500,1,1,-1.0,none,1.31,1,100,18.5023,0.4558,0.6405,66,,,,,,,,,186.5,199.27,228.28,10.22,188.99,1552.84,2191.08,1612.23,,output/exp_interval1_survey/s600/06-05-01-46-generic_vo-cfg_s600-/run_20260604_194652.log,
1780595428,1780595611,interval1,survey,s900,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_interval1_survey/cfg_s900.yaml,output/exp_interval1_survey/s900,output/exp_interval1_survey/s900/06-05-01-50-generic_vo-cfg_s900-,FAIL,137,3.04,1.99,8229,40,40,48,500,1,1,-1.0,none,81.34,1,40,17.4771,0.478,0.5299,31,,,,,,,,,138.9,197.72,263.19,15.29,182.36,3165.97,5448.7,3455.35,,output/exp_interval1_survey/s900/06-05-01-50-generic_vo-cfg_s900-/run_20260604_195026.log,
1780595630,1780597066,interval1,survey,s1200,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_interval1_survey/cfg_s1200.yaml,output/exp_interval1_survey/s1200,output/exp_interval1_survey/s1200/06-05-01-53-generic_vo-cfg_s1200-,OK,0,23.93,2.51,5518,492,492,500,500,1,1,-1.0,none,196.21,1,492,24.8071,0.7994,0.1639,321,7.282917100817059,6.394528531213652,500,500,,,,0,1430.3,201.98,207.89,7.25,194.68,2619.46,3071.72,2599.22,,output/exp_interval1_survey/s1200/06-05-01-53-generic_vo-cfg_s1200-/run_20260604_195336.log,
1780597089,1780597827,interval1,survey,s1500,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_interval1_survey/cfg_s1500.yaml,output/exp_interval1_survey/s1500,output/exp_interval1_survey/s1500/06-05-02-18-generic_vo-cfg_s1500-,FAIL,137,12.29,2.17,9862,280,280,288,500,1,1,-1.0,none,317.88,1,280,25.2315,0.7991,0.1713,191,,,,,,,,,724.6,201.51,206.78,8.02,193.43,2309.07,2780.26,2286.1,,output/exp_interval1_survey/s1500/06-05-02-18-generic_vo-cfg_s1500-/run_20260604_201800.log,
1780597852,1780599377,interval1,survey,s1800,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_interval1_survey/cfg_s1800.yaml,output/exp_interval1_survey/s1800,output/exp_interval1_survey/s1800/06-05-02-30-generic_vo-cfg_s1800-,OK,0,25.41,2.64,5366,492,492,500,500,1,1,-1.0,none,602.4,1,492,23.2142,0.722,0.2418,316,13.838289580188667,11.59333632605882,500,500,,,,0,1519.3,201.62,206.83,7.47,194.09,2773.54,3428.5,2752.77,,output/exp_interval1_survey/s1800/06-05-02-30-generic_vo-cfg_s1800-/run_20260604_203037.log,
1780599410,1780600918,interval1,survey,s2100,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_interval1_survey/cfg_s2100.yaml,output/exp_interval1_survey/s2100,output/exp_interval1_survey/s2100/06-05-02-56-generic_vo-cfg_s2100-,OK,0,25.13,2.68,6347,492,492,500,500,1,1,-1.0,none,436.1,1,492,22.7541,0.7583,0.2003,328,10.118209875670148,8.770800463966733,500,500,,,,0,1502.5,203.24,209.4,7.59,195.59,2745.43,3313.04,2723.23,,output/exp_interval1_survey/s2100/06-05-02-56-generic_vo-cfg_s2100-/run_20260604_205636.log,
1780600945,1780601663,interval1,survey,s2400,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_interval1_survey/cfg_s2400.yaml,output/exp_interval1_survey/s2400,output/exp_interval1_survey/s2400/06-05-03-22-generic_vo-cfg_s2400-,FAIL,137,11.96,2.15,9423,220,220,228,500,1,1,-1.0,none,158.78,1,220,21.7717,0.7278,0.2464,149,,,,,,,,,666.4,200.93,206.14,8.51,192.37,2750.52,4938.47,2755.78,,output/exp_interval1_survey/s2400/06-05-03-22-generic_vo-cfg_s2400-/run_20260604_212218.log,
1780601691,1780603094,interval1,survey,s2700,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_interval1_survey/cfg_s2700.yaml,output/exp_interval1_survey/s2700,output/exp_interval1_survey/s2700/06-05-03-34-generic_vo-cfg_s2700-,OK,0,23.37,2.75,5039,492,492,500,500,1,1,-1.0,none,228.69,1,492,23.5544,0.7774,0.1773,335,8.067122300208023,6.912188596903669,500,500,,,,0,1397.2,201.72,206.48,7.27,194.39,2530.83,2987.6,2509.78,,output/exp_interval1_survey/s2700/06-05-03-34-generic_vo-cfg_s2700-/run_20260604_213434.log,
