timestamp_start,timestamp_end,dataset,group,variant,config_path,save_dir,out_dir,status,exit_code,duration_min,peak_ram_gb,peak_vram_mib,n_keyframes,n_mapped,n_processed,n_dataset_frames,mapper_kf_skip,frame_skip,filter_thresh,selector_kind,ply_mb_final,ply_count,last_ply_kf,psnr,ssim,lpips,n_metric_frames,ate_rmse_m,ate_mean_m,n_ate_pairs,n_tracked,psnr_ho,ssim_ho,lpips_ho,n_eval_ho,wall_total_s,track_total_mean_ms,track_total_p95_ms,track_motion_filter_mean_ms,track_frontend_ba_mean_ms,map_total_mean_ms,map_total_p95_ms,map_train_loop_mean_ms,frame_select_mean_ms,log_path,crash_reason
1779910271,1779910472,amtown03,aim,aim_ovl055,configs/local/amtown03/s1000_400f/aim/amtown03_s1000_400f_aim_ovl055.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_s1000_400f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_s1000_400f/05-28-03-31-generic_vo-amtown03_s1000_400f_aim_ovl055-,FAIL,1,3.35,2.0,9642,140,71,148,400,1,1,-1.0,aim_slam,182.62,1,103,23.0844,0.7049,0.3522,56,,,,,,,,,172.9,199.15,210.79,9.57,189.52,1952.18,3391.87,1988.97,10.27,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_s1000_400f/05-28-03-31-generic_vo-amtown03_s1000_400f_aim_ovl055-/run_20260527_213111.log,
1779908224,1779908243,amtown03,skip_no_filter,nofilter_skip_20,configs/local/amtown03/s1000_400f/skip_no_filter/amtown03_s1000_400f_nofilter_skip_20.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_s1000_400f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_s1000_400f/05-28-02-57-generic_vo-amtown03_s1000_400f_nofilter_skip_20-,OK,0,0.32,1.72,2155,12,12,20,400,1,20,-1.0,none,43.98,1,399,22.9451,0.7147,0.3766,7,,,,,,,,,11.2,191.92,312.77,27.49,164.38,584.96,887.34,736.74,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_s1000_400f/05-28-02-57-generic_vo-amtown03_s1000_400f_nofilter_skip_20-/run_20260527_205704.log,
1779908826,1779909016,amtown03,skip_no_filter,nofilter_skip_1,configs/local/amtown03/s1000_400f/skip_no_filter/amtown03_s1000_400f_nofilter_skip_1.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_s1000_400f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_s1000_400f/05-28-03-07-generic_vo-amtown03_s1000_400f_nofilter_skip_1-,FAIL,1,3.17,1.92,9249,80,80,88,400,1,1,-1.0,none,184.48,1,57,22.7851,0.7002,0.3647,54,,,,,,,,,180.8,199.08,235.69,11.22,187.81,2007.11,3569.19,2050.75,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_s1000_400f/05-28-03-07-generic_vo-amtown03_s1000_400f_nofilter_skip_1-/run_20260527_210706.log,
1779910063,1779910255,amtown03,aim,aim_gain030,configs/local/amtown03/s1000_400f/aim/amtown03_s1000_400f_aim_gain030.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_s1000_400f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_s1000_400f/05-28-03-27-generic_vo-amtown03_s1000_400f_aim_gain030-,FAIL,1,3.2,2.01,9387,130,74,138,400,1,1,-1.0,aim_slam,199.76,1,93,22.5836,0.6913,0.386,57,,,,,,,,,181.3,200.23,216.23,9.88,190.29,2013.15,3431.26,2045.28,10.44,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_s1000_400f/05-28-03-27-generic_vo-amtown03_s1000_400f_aim_gain030-/run_20260527_212743.log,
1779910910,1779911093,amtown03,coko,coko_a005,configs/local/amtown03/s1000_400f/coko/amtown03_s1000_400f_coko_a005.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_s1000_400f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_s1000_400f/05-28-03-41-generic_vo-amtown03_s1000_400f_coko_a005-,FAIL,1,3.05,1.99,9746,200,65,208,400,1,1,-1.0,coko_slam,190.97,1,120,22.3839,0.6663,0.3828,57,,,,,,,,,156.4,199.91,207.93,8.41,191.45,1690.54,2577.86,1727.62,5.45,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_s1000_400f/05-28-03-41-generic_vo-amtown03_s1000_400f_coko_a005-/run_20260527_214151.log,
1779908676,1779908809,amtown03,skip_no_filter,nofilter_skip_2,configs/local/amtown03/s1000_400f/skip_no_filter/amtown03_s1000_400f_nofilter_skip_2.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_s1000_400f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_s1000_400f/05-28-03-04-generic_vo-amtown03_s1000_400f_nofilter_skip_2-,FAIL,1,2.22,1.9,9481,60,60,68,400,1,2,-1.0,none,190.99,1,114,22.3125,0.698,0.3748,41,,,,,,,,,108.5,196.91,232.68,12.42,184.44,1550.63,2573.63,1582.99,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_s1000_400f/05-28-03-04-generic_vo-amtown03_s1000_400f_nofilter_skip_2-/run_20260527_210436.log,
1779913709,1779913838,amtown03,orbslam,orbslam_max60,configs/local/amtown03/s1000_400f/orbslam/amtown03_s1000_400f_orbslam_max60.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_s1000_400f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_s1000_400f/05-28-04-28-generic_vo-amtown03_s1000_400f_orbslam_max60-,OK,0,2.15,2.01,3739,392,34,400,400,1,1,-1.0,orbslam3,167.58,1,399,22.0747,0.6856,0.3659,34,,,,,,,,,119.9,200.34,206.87,7.62,192.66,916.29,1113.58,873.26,5.86,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_s1000_400f/05-28-04-28-generic_vo-amtown03_s1000_400f_orbslam_max60-/run_20260527_222829.log,
1779910488,1779910686,amtown03,aim,aim_ovl085,configs/local/amtown03/s1000_400f/aim/amtown03_s1000_400f_aim_ovl085.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_s1000_400f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_s1000_400f/05-28-03-34-generic_vo-amtown03_s1000_400f_aim_ovl085-,FAIL,1,3.3,2.0,9675,130,76,138,400,1,1,-1.0,aim_slam,199.95,1,89,22.0348,0.6747,0.3924,57,,,,,,,,,183.5,199.94,218.52,9.7,190.18,1989.9,3482.87,2020.35,10.46,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_s1000_400f/05-28-03-34-generic_vo-amtown03_s1000_400f_aim_ovl085-/run_20260527_213449.log,
1779913043,1779913265,amtown03,nurbs,nurbs_sec1,configs/local/amtown03/s1000_400f/nurbs/amtown03_s1000_400f_nurbs_sec1.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_s1000_400f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_s1000_400f/05-28-04-17-generic_vo-amtown03_s1000_400f_nurbs_sec1-,FAIL,1,3.7,2.0,9482,180,76,188,400,1,1,-1.0,nurbs_lvi,219.82,1,124,21.9839,0.6677,0.3952,65,,,,,,,,,201.3,200.3,211.36,9.09,191.16,2040.75,3369.82,1996.33,24.86,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_s1000_400f/05-28-04-17-generic_vo-amtown03_s1000_400f_nurbs_sec1-/run_20260527_221724.log,
1779907857,1779907896,amtown03,baseline,vings_filter,configs/local/amtown03/s1000_400f/baseline/amtown03_s1000_400f_vings_filter.yaml,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_s1000_400f,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_s1000_400f/05-28-02-51-generic_vo-amtown03_s1000_400f_vings_filter-,OK,0,0.65,1.87,2615,174,174,400,400,1,1,2.4,none,110.68,1,399,21.8579,0.6698,0.3555,15,,,,,,,,,30.1,18.39,184.33,5.81,12.54,104.45,880.28,781.01,,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_amtown03_s1000_400f/05-28-02-51-generic_vo-amtown03_s1000_400f_vings_filter-/run_20260527_205058.log,
