survey_name,timestamp,dataset,selector_kind,n_segments,n_ok,n_fail,duration_total_min,wall_total_s,ply_mb_merged,n_gaussians_merged,n_keyframes_total,n_mapped_total,n_dataset_frames_total,psnr_min,psnr_max,psnr_mean,ssim_min,ssim_max,ssim_mean,lpips_min,lpips_max,lpips_mean,ate_rmse_m_min,ate_rmse_m_max,ate_rmse_m_mean,psnr_ho_min,psnr_ho_max,psnr_ho_mean,ssim_ho_min,ssim_ho_max,ssim_ho_mean,lpips_ho_min,lpips_ho_max,lpips_ho_mean,peak_vram_mib_min,peak_vram_mib_max,peak_vram_mib_mean,peak_ram_gb_min,peak_ram_gb_max,peak_ram_gb_mean,duration_min_min,duration_min_max,duration_min_mean,psnr_wmean,ate_rmse_m_wmean
none,1780950489,interval1,none,16,6,10,247.4,14468.4,4655.52,19079983,4832.0,4832.0,8000.0,17.6736,25.3672,22.4141,0.4593,0.8047,0.6804,0.1624,0.6795,0.3204,7.2815,22.2492,11.7718,11.1686,12.6513,11.8563,0.1145,0.1501,0.1336,0.5849,0.6268,0.6076,5172.0,9867.0,8054.4375,1.89,2.76,2.3256,0.86,26.15,15.4625,23.0924,11.7718
vista,1780953692,interval1,vista,16,16,0,47.45,2763.0,1956.21,8017246,7872.0,572.0,8000.0,16.7965,19.9044,18.8463,0.4857,0.7241,0.6136,0.3222,0.5407,0.4229,2.0195,73.0287,18.4774,6.3347,13.7086,9.3852,0.0013,0.269,0.0844,0.5613,0.9576,0.6994,1557.0,6109.0,2691.5,2.23,2.5,2.3956,2.23,3.55,2.9656,18.78,18.4774
mm3dgs,1780956473,interval1,mm3dgs,16,16,0,43.6,2533.9,1693.38,6940068,7872.0,451.0,8000.0,16.5321,21.5326,18.9286,0.4324,0.7221,0.6182,0.3017,0.6855,0.4287,2.0504,73.0498,18.0346,6.4449,15.6293,9.036,0.0007,0.3752,0.0778,0.5072,1.0058,0.7314,1594.0,4692.0,1992.8125,2.21,2.4,2.34,2.14,2.93,2.725,18.8246,18.0346
adaptive_kf,1780958903,interval1,adaptive_kf,16,16,0,38.8,2245.0,348.24,1427191,7872.0,97.0,8000.0,11.9414,26.2067,19.4289,0.3555,0.7994,0.6481,0.1756,0.7787,0.3893,2.2066,73.0491,18.7806,6.1915,9.5512,7.1064,0.0006,0.115,0.0218,0.7979,1.0068,0.8991,1435.0,4377.0,1774.4375,2.2,2.27,2.2531,2.3,2.75,2.425,19.6815,18.7806
nurbs,1780963030,interval1,nurbs_lvi,15,2,13,59.66,3684.6,1383.61,5670520,3384.0,1286.0,7500.0,16.2164,24.8865,22.0817,0.4484,0.7857,0.6685,0.2019,0.544,0.3355,2.8543,9.9792,6.4167,10.2562,11.9251,11.0907,0.1055,0.1329,0.1192,0.577,0.598,0.5875,5363.0,9873.0,8681.7143,1.93,2.66,2.175,1.14,9.85,4.2614,22.0265,6.4167
game,1780966337,interval1,game_kfs,16,15,1,51.7,3011.0,2333.93,9565272,7650.0,704.0,8000.0,14.9941,21.6946,18.8116,0.3832,0.6977,0.596,0.3454,0.6612,0.4363,2.2442,54.7017,14.6948,9.2404,12.9675,10.0154,0.0465,0.1904,0.0939,0.5715,0.7495,0.6476,1763.0,9853.0,4856.375,2.16,2.56,2.4531,2.39,3.65,3.2312,18.6531,14.6948
orbslam,1780970136,interval1,orbslam3,16,10,6,58.96,3430.6,2317.02,9495960,6270.0,1129.0,8000.0,17.375,25.0783,21.3234,0.4793,0.759,0.6622,0.2453,0.5502,0.3525,2.1924,61.5477,17.2608,10.3406,11.6459,11.0374,0.087,0.1606,0.1181,0.5663,0.6319,0.5992,2407.0,9805.0,6046.75,1.86,2.64,2.375,0.29,5.28,3.685,21.1931,17.2608
coko,1780976115,interval1,coko_slam,16,4,12,94.23,5497.1,2478.19,10156516,4678.0,1838.0,8000.0,16.4081,24.1538,21.4863,0.4469,0.7725,0.6406,0.2075,0.5742,0.3665,8.0719,45.3727,21.4182,11.1571,12.7624,11.8034,0.115,0.1445,0.1306,0.5746,0.6056,0.5905,5682.0,9846.0,8714.125,1.97,2.71,2.2588,1.04,13.31,5.8894,21.5084,21.4182
aim,1780980686,interval1,aim_slam,16,10,6,70.69,4078.5,2615.13,10717760,6080.0,1218.0,8000.0,15.8473,25.0171,20.5608,0.4265,0.7354,0.6276,0.2911,0.5668,0.3975,5.077,45.2333,13.9071,8.4991,11.2212,9.8854,0.0519,0.129,0.0882,0.5892,0.7201,0.6598,3081.0,9809.0,7452.8125,1.88,2.64,2.41,0.68,8.16,4.4181,20.3448,13.9071
two_gate_v2,1781082259,interval1,two_gate_v2,16,16,0,22.75,1277.6,934.21,3828719,3411.0,201.0,8000.0,15.8966,21.3836,17.6242,0.5345,0.677,0.5975,0.3413,0.4873,0.4217,0.9071,57.1722,12.229,6.9159,12.8972,8.6396,0.0248,0.2383,0.0776,0.56,0.8285,0.7415,1525.0,1790.0,1660.9375,2.28,2.39,2.3531,0.79,1.61,1.4219,17.2759,13.5148
two_gate_v2_tuned,1781112362,interval1,two_gate_v2,16,16,0,29.55,1685.4,1704.87,6987158,3441.0,479.0,8000.0,16.3964,21.814,18.5862,0.5272,0.6977,0.6112,0.3139,0.4959,0.4026,1.1789,57.2488,12.1486,7.3288,13.6963,10.3443,0.0394,0.2063,0.1078,0.546,0.7685,0.6465,1586.0,5680.0,2095.25,2.29,2.47,2.4137,0.8,2.31,1.8469,18.4093,13.3861
