selector_name,dataset,group,variant,status,exit_code,duration_min,peak_ram_gb,peak_vram_mib,n_keyframes,n_mapped,n_processed,n_dataset_frames,mapper_kf_skip,frame_skip,filter_thresh,selector_kind,ply_mb_final,ply_count,last_ply_kf,psnr,ssim,lpips,n_metric_frames,ate_rmse_m,ate_mean_m,n_ate_pairs,n_tracked,psnr_ho,ssim_ho,lpips_ho,n_eval_ho,wall_total_s,track_total_mean_ms,track_total_p95_ms,track_motion_filter_mean_ms,track_frontend_ba_mean_ms,map_total_mean_ms,map_total_p95_ms,map_train_loop_mean_ms,frame_select_mean_ms,log_path,crash_reason
vista,amtown03,amtown03_s3100_200f,amtown03_s3100_200f_vista__cov0p15_ang0p12_vox1,OK,0,2.27,2.12,5186,192,72,200,200,1,1,-1.0,vista,247.5,1,199,24.088,0.7975,0.177,55,4.479131528290601,3.8926885486010634,200,200,14.176,0.3792,0.3661,20,126.2,200.95,207.81,8.77,192.13,1109.06,1482.99,1084.03,0.91,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_gridsearch/vista_amtown03_s3100_200f/07-02-03-28-generic_vo-amtown03_s3100_200f_vista__cov0p15_ang0p12_vox1-/run_20260701_212801.log,
vista,amtown03,amtown03_s3100_200f,amtown03_s3100_200f_vista__cov0p1_ang0p06_vox2,OK,0,2.12,2.11,5340,192,67,200,200,1,1,-1.0,vista,229.74,1,199,23.8537,0.7966,0.1796,48,4.478214322518824,3.8917715364930006,200,200,14.1793,0.3776,0.3659,20,117.2,201.4,207.21,8.75,192.6,1059.11,1412.16,1035.23,0.92,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_gridsearch/vista_amtown03_s3100_200f/07-02-03-37-generic_vo-amtown03_s3100_200f_vista__cov0p1_ang0p06_vox2-/run_20260701_213700.log,
vista,amtown03,amtown03_s3100_200f,amtown03_s3100_200f_vista__cov0p15_ang0p06_vox1,OK,0,2.27,2.12,5288,192,72,200,200,1,1,-1.0,vista,245.19,1,199,24.3929,0.8078,0.172,50,4.4796289570069865,3.892968251125386,200,200,14.1882,0.3814,0.3622,20,126.1,200.96,207.05,8.66,192.25,1106.96,1465.25,1082.39,0.9,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_gridsearch/vista_amtown03_s3100_200f/07-02-03-21-generic_vo-amtown03_s3100_200f_vista__cov0p15_ang0p06_vox1-/run_20260701_212121.log,
vista,amtown03,amtown03_s3100_200f,amtown03_s3100_200f_vista__cov0p05_ang0p12_vox0p5,OK,0,2.25,2.1,5218,192,72,200,200,1,1,-1.0,vista,246.63,1,199,23.8365,0.7942,0.1809,56,4.476970446063159,3.8907741237025437,200,200,14.1975,0.3779,0.3556,20,125.5,200.04,206.38,8.68,191.31,1101.67,1479.58,1076.66,0.88,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_gridsearch/vista_amtown03_s3100_200f/07-02-02-59-generic_vo-amtown03_s3100_200f_vista__cov0p05_ang0p12_vox0p5-/run_20260701_205904.log,
vista,amtown03,amtown03_s3100_200f,amtown03_s3100_200f_vista__cov0p05_vox1,OK,0,2.27,2.11,5192,192,72,200,200,1,1,-1.0,vista,248.07,1,199,24.2779,0.8052,0.1736,48,4.480978130250779,3.8942527378703664,200,200,14.1988,0.3769,0.3628,20,125.9,200.73,206.72,8.7,191.98,1104.66,1486.8,1079.57,0.9,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_gridsearch/vista_amtown03_s3100_200f/07-02-03-08-generic_vo-amtown03_s3100_200f_vista__cov0p05_vox1-/run_20260701_210801.log,
vista,amtown03,amtown03_s3100_200f,amtown03_s3100_200f_vista__cov0p2_vox1,OK,0,2.23,2.11,5223,192,72,200,200,1,1,-1.0,vista,247.29,1,199,24.1021,0.8018,0.1762,46,4.479120193802595,3.892681944324843,200,200,14.2003,0.3845,0.3686,20,125.6,200.4,206.59,8.69,191.66,1101.79,1470.93,1076.72,0.9,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_gridsearch/vista_amtown03_s3100_200f/07-02-04-01-generic_vo-amtown03_s3100_200f_vista__cov0p2_vox1-/run_20260701_220123.log,
vista,amtown03,amtown03_s3100_200f,amtown03_s3100_200f_vista__cov0p05_ang0p06_vox1,OK,0,2.27,2.11,5256,192,72,200,200,1,1,-1.0,vista,245.91,1,199,24.3137,0.8042,0.1672,48,4.478966775567486,3.8924745721457104,200,200,14.2012,0.3823,0.3653,20,125.8,199.98,206.11,8.67,191.25,1105.61,1467.59,1080.96,0.9,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_gridsearch/vista_amtown03_s3100_200f/07-02-02-54-generic_vo-amtown03_s3100_200f_vista__cov0p05_ang0p06_vox1-/run_20260701_205439.log,
vista,amtown03,amtown03_s3100_200f,amtown03_s3100_200f_vista__cov0p1_ang0p12_vox2,OK,0,2.15,2.12,4950,192,68,200,200,1,1,-1.0,vista,233.54,1,199,24.1299,0.8007,0.1748,54,4.478937315905781,3.892351374484712,200,200,14.2138,0.3835,0.3664,20,119.2,201.12,206.77,8.82,192.24,1068.13,1391.99,1044.2,0.93,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_gridsearch/vista_amtown03_s3100_200f/07-02-03-43-generic_vo-amtown03_s3100_200f_vista__cov0p1_ang0p12_vox2-/run_20260701_214338.log,
vista,amtown03,amtown03_s3100_200f,amtown03_s3100_200f_vista__cov0p05_ang0p06_vox0p5,OK,0,2.27,2.11,5202,192,72,200,200,1,1,-1.0,vista,246.72,1,199,23.9996,0.7927,0.1783,55,4.47844988167444,3.8919275801231596,200,200,14.2188,0.3793,0.3605,20,125.9,199.84,208.52,8.66,191.12,1102.92,1477.61,1078.24,0.89,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_gridsearch/vista_amtown03_s3100_200f/07-02-02-52-generic_vo-amtown03_s3100_200f_vista__cov0p05_ang0p06_vox0p5-/run_20260701_205222.log,
vista,amtown03,amtown03_s3100_200f,amtown03_s3100_200f_vista__cov0p15_ang0p06_vox0p5,OK,0,2.25,2.11,5696,192,72,200,200,1,1,-1.0,vista,247.21,1,199,24.1131,0.8,0.1727,55,4.479856954231048,3.893171617980629,200,200,14.2279,0.385,0.3666,20,125.3,200.72,206.31,8.7,191.96,1095.52,1484.4,1070.41,0.88,/home/philipp/Dokumente/Github/VINGS-Mono-BA/output/exp_gridsearch/vista_amtown03_s3100_200f/07-02-03-19-generic_vo-amtown03_s3100_200f_vista__cov0p15_ang0p06_vox0p5-/run_20260701_211906.log,
